n,name,parent,value
2432489,Viruses,-1.0,11271
1502825,Ribozyviria,2432489.0,15
1509178,Kolmioviridae,1502825.0,15
1504461,Daletvirus,1509178.0,1
1514040,Daletvirus boae,1504461.0,1
1509406,Deltavirus,1509178.0,8
1503494,Deltavirus senegalense,1509406.0,1
1504457,Deltavirus japanense,1509406.0,1
1506880,Deltavirus italiense,1509406.0,1
1509025,Deltavirus taiwanense,1509406.0,1
1514484,Deltavirus cameroonense,1509406.0,1
1515286,Deltavirus carense,1509406.0,1
1516089,Deltavirus peruense,1509406.0,1
1517400,Deltavirus togense,1509406.0,1
1511316,Dalvirus,1509178.0,1
1514082,Dalvirus anatis,1511316.0,1
1513102,Deevirus,1509178.0,1
1512052,Deevirus actinopterygii,1513102.0,1
1513141,Thurisazvirus,1509178.0,1
1516246,Thurisazvirus myis,1513141.0,1
1513514,Dagazvirus,1509178.0,1
1507877,Dagazvirus schedorhinotermitis,1513514.0,1
1513613,Daazvirus,1509178.0,1
1517491,Daazvirus cynopis,1513613.0,1
1516600,Dobrovirus,1509178.0,1
1507656,Dobrovirus bufonis,1516600.0,1
1502872,Portogloboviridae,2432489.0,2
1502867,Alphaportoglobovirus,1502872.0,2
1505909,Sulfolobus alphaportoglobovirus 1,1502867.0,1
1512398,Alphaportoglobovirus SPV2,1502867.0,1
1503336,Duplodnaviria,2432489.0,4210
1510295,Heunggongvirae,1503336.0,4210
1515884,Uroviricota,1510295.0,4077
1515284,Caudoviricetes,1515884.0,4077
1502757,Anjalivirus,1515284.0,2
1509737,Anjalivirus anjali,1502757.0,1
1517161,Anjalivirus mendel,1502757.0,1
1502808,Cedarrivervirus,1515284.0,1
1504367,Cedarrivervirus Sf11,1502808.0,1
1502819,Cronusvirus,1515284.0,1
1512462,Cronusvirus cronus,1502819.0,1
1502827,Tandoganvirus,1515284.0,1
1508796,Tandoganvirus A403,1502827.0,1
1502863,Ilzatvirus,1515284.0,5
1505944,Ilzatvirus ilzat,1502863.0,1
1506348,Ilzatvirus hamlet,1502863.0,1
1508968,Ilzatvirus monchoix,1502863.0,1
